wikidata_id,museum_name,city,website
http://www.wikidata.org/entity/Q98893882,Zilvermuseum Doesburg,Doesburg,https://zilvermuseumdoesburg.nl/
http://www.wikidata.org/entity/Q110282060,Jan Adam Zandleven Museum,,https://zandleven.nl/
http://www.wikidata.org/entity/Q109205757,Nederlands Zuivelmuseum,Heerde,https://www.zuivelmuseum.nl
http://www.wikidata.org/entity/Q2335767,Zijper Oudheidskamer,Schagen,https://www.zijpermuseum.nl/
http://www.wikidata.org/entity/Q2153365,Zeeuws Museum,Middelburg,https://www.zeeuwsmuseum.nl/nl
http://www.wikidata.org/entity/Q2153365,Zeeuws Museum,Middelburg,https://www.zeeuwsmuseum.nl/en
http://www.wikidata.org/entity/Q1121835,Ir.D.F. Woudagemaal,De Friese Meren,https://www.woudagemaal.nl/
http://www.wikidata.org/entity/Q1943968,Wilhelmietenmuseum,Woensdrecht,https://www.wilhelmietenmuseum.nl/
http://www.wikidata.org/entity/Q23437720,Museum Wierdenland,Winsum,https://www.wierdenland.nl/
http://www.wikidata.org/entity/Q51959637,Drinkwatermuseum,Heemstede,https://www.waternet.nl/ons-water/leren-over-water/drinkwatermuseum/
http://www.wikidata.org/entity/Q110995995,Historische Tuinderij 'de lentse warmoezenier',,https://www.warmoes-lent.nl/
http://www.wikidata.org/entity/Q2036123,Vrijmetselarij Museum,Den Haag,https://www.vrijmetselarijmuseum.nl/
http://www.wikidata.org/entity/Q99622726,Drenkelingenhuisje,Vlieland,https://www.vliehors-expres.nl/reddinghuisje/
http://www.wikidata.org/entity/Q16144508,Vlasmuseum 't Vlasschuurken,Terneuzen,https://www.vlasmuseum.nl
http://www.wikidata.org/entity/Q123458699,Viking Informatiecentrum,Hollands Kroon,https://www.vikingen.nl/pg-28219-7-84399/pagina/welkom.html
http://www.wikidata.org/entity/Q1939296,Nederlands Vestingmuseum,Gooise Meren,https://www.vestingmuseum.nl/
http://www.wikidata.org/entity/Q1939296,Nederlands Vestingmuseum,Naarden,https://www.vestingmuseum.nl/
http://www.wikidata.org/entity/Q7921517,Vermeer Centrum Delft,Delft,https://www.vermeerdelft.nl/nl/
http://www.wikidata.org/entity/Q114867292,Museum Borg Verhildersum,,https://www.verhildersum.nl/
http://www.wikidata.org/entity/Q110996024,Stichting Exploitatie Het Museum in het Hart van Winterswijk,,https://www.vereniginghetmuseum.nl/
http://www.wikidata.org/entity/Q2121036,Hansenhof,Venlo,https://www.veldense-volkscultuur.nl/museum-hansenhof
http://www.wikidata.org/entity/Q2491328,Veenkoloniaal Museum,Veendam,https://www.veenkoloniaalmuseum.nl
http://www.wikidata.org/entity/Q15883459,Van Gogh Village Museum,"Nuenen, Gerwen en Nederwetten",https://www.vangoghvillagenuenen.nl
http://www.wikidata.org/entity/Q1994770,Museum van Bommel van Dam,Venlo,https://www.vanbommelvandam.nl/
http://www.wikidata.org/entity/Q98893896,Museum voor Anatomie en Pathologie,Nijmegen,https://www.umcn.nl/museum
http://www.wikidata.org/entity/Q2153292,Science Centre Delft,Delft,https://www.tudelft.nl/sciencecentre/
http://www.wikidata.org/entity/Q2689996,TU Delft Hortus Botanicus,Delft,https://www.tudelft.nl/hortus-botanicus/
http://www.wikidata.org/entity/Q2663362,Museum it Tsiispakhûs,Littenseradiel,https://www.tsiispakhus.nl/
http://www.wikidata.org/entity/Q2267622,Tresoar,Leeuwarden,https://www.tresoar.nl/
http://www.wikidata.org/entity/Q7708470,Textile Research Centre,Leiden,https://www.trc-leiden.nl/
http://www.wikidata.org/entity/Q2383603,Nederlands Uitvaart Museum Tot Zover,Amsterdam,https://www.totzover.nl/
http://www.wikidata.org/entity/Q2640806,Museum Tongerlohuys,Roosendaal,https://www.tongerlohuys.nl/
http://www.wikidata.org/entity/Q153193,Thermenmuseum,Heerlen,https://www.thermenmuseum.nl/
http://www.wikidata.org/entity/Q111154596,Theo Thijssen Museum,Amsterdam,https://www.theothijssenmuseum.nl/
http://www.wikidata.org/entity/Q113947640,The Upside Down Amsterdam,Amsterdam,https://www.the-upsidedown.com/
http://www.wikidata.org/entity/Q2885637,Tabaks Historisch Museum,Delft,https://www.tabaksmuseum.nl/
http://www.wikidata.org/entity/Q56460618,Streekmuseum Krimpenerwaard,Krimpen aan den IJssel,https://www.streekmuseumkrimpenerwaard.nl/
http://www.wikidata.org/entity/Q110906661,Streekmuseum Etten+Leur,,https://www.streekmuseumettenleur.nl/
http://www.wikidata.org/entity/Q2351733,Stoom Stichting Nederland,Rotterdam,https://www.stoomstichting.nl/
http://www.wikidata.org/entity/Q99346033,Museum De Tuut,West Maas en Waal,https://www.stoomgemaaldetuut.nl/
http://www.wikidata.org/entity/Q110282072,RoMeO,,https://www.stichtingromeo.nl/
http://www.wikidata.org/entity/Q20612836,Oudheidkamer Bolsward,Bolsward,https://www.stichtingbolswardshistorie.nl/
http://www.wikidata.org/entity/Q2445274,Steenkolenmijn Valkenburg,Valkenburg aan de Geul,https://www.steenkolenmijn.nl/nl/
http://www.wikidata.org/entity/Q924335,Stedelijk Museum Amsterdam,Amsterdam,https://www.stedelijk.nl/
http://www.wikidata.org/entity/Q98893890,Stadsmuseum Groenlo,Oost Gelre,https://www.stadsmuseumgroenlo.nl/
http://www.wikidata.org/entity/Q110995941,Stadsmuseum Hellevoetsluis,,https://www.stadsmuseum-hellevoetsluis.nl/
http://www.wikidata.org/entity/Q1875967,Het Bolwerk,Sluis,https://www.staatsspaanselinies.eu/nl/museabezoekerscentra/museum-het-bolwerk.htm
http://www.wikidata.org/entity/Q110995944,Vereniging Het Spinozahuis,,https://www.spinozahuis.nl/
http://www.wikidata.org/entity/Q124478103,"Spelebos",Best,https://www.spelebos.nl/
http://www.wikidata.org/entity/Q603892,Space Expo,Noordwijk,https://www.space-expo.nl/
http://www.wikidata.org/entity/Q110995942,World Seed Experience,,https://www.sowtogrow.nl/
http://www.wikidata.org/entity/Q111950415,Smokkelmuseum Cranendonck,,https://www.smokkelmuseumcranendonck.nl/
http://www.wikidata.org/entity/Q4434463,Gelders Smalspoormuseum,Gelderland,https://www.smalspoor.nl/
http://www.wikidata.org/entity/Q110995927,Stichting Goudse Sint-Jan,,https://www.sintjan.com/
http://www.wikidata.org/entity/Q1662109,SieboldHuis,Leiden,https://www.sieboldhuis.org/en/
http://www.wikidata.org/entity/Q2740987,Limburgs Schutterij Museum,Venlo,https://www.schutterijmuseum.nl/
http://www.wikidata.org/entity/Q3909572,Museum de Schilpen,Midden-Delfland,https://www.schilpen.nl/
http://www.wikidata.org/entity/Q110995942,World Seed Experience,,https://www.saetencruyt.nl/
http://www.wikidata.org/entity/Q13137710,Ruurd Wiersma Museum,Noardeast-Fryslân,https://www.ruurdwiersma.nl/
http://www.wikidata.org/entity/Q1967608,Universiteitsmuseum,Groningen,https://www.rug.nl/society-business/university-museum/
http://www.wikidata.org/entity/Q1441483,Stichting voorheen RTM,Ouddorp,https://www.rtm-ouddorp.nl/
http://www.wikidata.org/entity/Q1505892,Rijksmuseum Twenthe,Enschede,https://www.rijksmuseumtwenthe.nl/
http://www.wikidata.org/entity/Q190804,Rijksmuseum Amsterdam,Amsterdam,https://www.rijksmuseum.nl/
http://www.wikidata.org/entity/Q914231,Rietveld Schröderhuis,Utrecht,https://www.rietveldschroderhuis.nl/
http://www.wikidata.org/entity/Q277316,Rembrandthuis,Amsterdam,https://www.rembrandthuis.nl/nl/
http://www.wikidata.org/entity/Q65094059,Red Light Secrets,Amsterdam,https://www.redlightsecrets.com/
http://www.wikidata.org/entity/Q1324489,Keramiekmuseum Princessehof,Leeuwarden,https://www.princessehof.nl
http://www.wikidata.org/entity/Q2198718,Poppenspe(e)lmuseum,Heerde,https://www.poppenspelmuseum.nl/
http://www.wikidata.org/entity/Q28154714,Polderhuis,Veere,https://www.polderhuiswestkapelle.nl
http://www.wikidata.org/entity/Q2694318,Nederlands Pluimveemuseum,Barneveld,https://www.pluimveemuseum.nl
http://www.wikidata.org/entity/Q56459509,Pieter Vermeulen Museum,IJmuiden,https://www.pietervermeulenmuseum.nl/
http://www.wikidata.org/entity/Q2303873,Philips Museum,Eindhoven,https://www.philips-museum.com/
http://www.wikidata.org/entity/Q19832258,Museum van Papierknipkunst,,https://www.papierknipmuseum.nl/
http://www.wikidata.org/entity/Q1056152,Paleis op de Dam,Amsterdam,https://www.paleisamsterdam.nl/
http://www.wikidata.org/entity/Q2496473,Openbaar Vervoer & Speelgoed Museum,Doesburg,https://www.ovsm-doesburg.nl
http://www.wikidata.org/entity/Q2496473,Openbaar Vervoer & Speelgoed Museum,Doesburg,https://www.ovsm-doesburg.nl
http://www.wikidata.org/entity/Q61864318,Openbaar Vervoer Collectie Nederland,,https://www.ovcn.nl
http://www.wikidata.org/entity/Q113659117,OSCAM,Amsterdam,https://www.oscam.nl/
http://www.wikidata.org/entity/Q98952031,Nationaal Monument Oranjehotel,Den Haag,https://www.oranjehotel.org/
http://www.wikidata.org/entity/Q674449,Nederlands Openluchtmuseum,Arnhem,https://www.openluchtmuseum.nl
http://www.wikidata.org/entity/Q110996011,Museum Vitality,,https://www.oorlogsmuseumvitality.nl/
http://www.wikidata.org/entity/Q2085575,Gdyniamuseum,Terneuzen,https://www.oorlogsmuseumgdynia.nl/
http://www.wikidata.org/entity/Q1823028,Oorlogsmuseum Overloon,Land van Cuijk,https://www.oorlogsmuseum.nl
http://www.wikidata.org/entity/Q111081381,Océ Museum,,https://www.ocemuseum.nl/
http://www.wikidata.org/entity/Q2201887,Observeum,Tietjerksteradeel,https://www.observeum.nl/
http://www.wikidata.org/entity/Q2369728,NZH-Vervoermuseum,Haarlem,https://www.nzh-vervoermuseum.nl/
http://www.wikidata.org/entity/Q2299923,Natuurhistorisch en Volkenkundig Museum,Halderberge,https://www.nvmoudenbosch.nl/
http://www.wikidata.org/entity/Q1781661,Legermuseum,Delft,https://www.nmm.nl
http://www.wikidata.org/entity/Q1422000,NEMO,Amsterdam,https://www.nemosciencemuseum.nl/en/
http://www.wikidata.org/entity/Q2054056,Nederlands Mijnmuseum,Heerlen,https://www.nederlandsmijnmuseum.nl/
http://www.wikidata.org/entity/Q2191118,Nederlands Fotomuseum,Rotterdam,https://www.nederlandsfotomuseum.nl
http://www.wikidata.org/entity/Q2592729,Arboretum Poort-Bulten,Losser,https://www.natuurmonumenten.nl/natuurgebieden/arboretum-poort-bulten
http://www.wikidata.org/entity/Q115786157,Nationaal Videogame Museum,Zoetermeer,https://www.nationaalvideogamemuseum.nl/
http://www.wikidata.org/entity/Q28151370,Nationaal Orgelmuseum,Elburg,https://www.nationaalorgelmuseum.nl
http://www.wikidata.org/entity/Q110995918,Nationaal Busmuseum,,https://www.nationaalbusmuseum.nl/
http://www.wikidata.org/entity/Q2575273,Nationaal Bus Museum,Hoogezand-Sappemeer,https://www.nationaalbusmuseum.nl
http://www.wikidata.org/entity/Q1960748,Nationaal Baggermuseum,Sliedrecht,https://www.nationaalbaggermuseum.nl/welcome/
http://www.wikidata.org/entity/Q15879552,Muzeeaquarium Delfzijl,Eemsdelta,https://www.muzeeaquarium.nl/
http://www.wikidata.org/entity/Q66085575,Musiom,Amersfoort,https://www.musiom.art/
http://www.wikidata.org/entity/Q98959190,Museum Kasteel Wijchen,Wijchen,https://www.museumwijchen.nl/
http://www.wikidata.org/entity/Q2361897,Museum Warsenhoeck,Nieuwegein,https://www.museumwarsenhoeck.nl
http://www.wikidata.org/entity/Q131138756,Museum Waalsdorp,Wassenaar,https://www.museumwaalsdorp.nl
http://www.wikidata.org/entity/Q2538283,Museum W,Weert,https://www.museumw.nl
http://www.wikidata.org/entity/Q2050538,Historisch Museum Vriezenveen,Vriezenveen,https://www.museumvriezenveen.nl/
http://www.wikidata.org/entity/Q110995916,Museum Vreeburg,,https://www.museumvreeburg.nl/
http://www.wikidata.org/entity/Q98893885,Museum Veluwezoom,Renkum,https://www.museumveluwezoom.nl/
http://www.wikidata.org/entity/Q56461068,Museum Veenendaal,Veenendaal,https://www.museumveenendaal.nl/
http://www.wikidata.org/entity/Q66085540,Museum van Zuilen,Utrecht,https://www.museumvanzuilen.nl/museum/
http://www.wikidata.org/entity/Q19832258,Museum van Papierknipkunst,,https://www.museumvanpapierknipkunst.nl/
http://www.wikidata.org/entity/Q134984947,Museum van Kleef,,https://www.museumvankleef.nl/
http://www.wikidata.org/entity/Q110053532,Museum van de Vrouw,,https://www.museumvandevrouw.nl/
http://www.wikidata.org/entity/Q17457800,Museum Valkenburg,Valkenburg aan de Geul,https://www.museumvalkenburg.nl
http://www.wikidata.org/entity/Q26411393,Gemeentemuseum Het Land van Thorn,Maasgouw,https://www.museumthorn.com/nl/home
http://www.wikidata.org/entity/Q17619087,"Museum ""Terug in de tijd""",Leudal,https://www.museumterugindetijd.nl/
http://www.wikidata.org/entity/Q98893862,Museum STAAL,Lochem,https://www.museumstaal.nl
